Pokemon,Set,Normal Price ($),Foil Price ($),Price Date
Gengar (20),Fossil,7.51,,20210309 20:11:24
Gambler,Fossil,0.25,,20210309 20:11:25
Recycle,Fossil,0.24,,20210309 20:11:25
Sabrinas Gengar,Gym Challenge,22.56,,20210309 21:39:08
Indeedee V,Shining Fates,,0.86,20210309 20:12:19
Morpeko V,Shining Fates,,0.96,20210309 20:11:50
Cinderace V,Shining Fates,,0.96,20210309 20:12:20
Orbeetle V - SWSH078,Jumbo Cards,,0.97,20210309 20:11:51
Omastar BREAK,XY - Fates Collide,,1.02,20210309 20:11:28
Steelix V,SWSH04: Vivid Voltage,,1.13,20210309 20:11:54
Galarian Darmanitan V,SWSH04: Vivid Voltage,,1.14,20210309 20:11:44
Aegislash V,SWSH04: Vivid Voltage,,1.16,20210309 20:11:40
Starmie BREAK,XY - Evolutions,,1.17,20210309 20:11:29
Zarude V,SWSH04: Vivid Voltage,,1.22,20210309 20:11:58
Drednaw V,Champions Path,,1.23,20210309 20:11:45
Morpeko V - SWSH056,SWSH: Sword & Shield Promo Cards,,1.27,20210309 20:11:50
Cramorant V,Shining Fates,,1.27,20210309 20:12:19
Galarian Cursola V,Champions Path,,1.3,20210309 20:11:43
Duraludon V,Champions Path,,1.3,20210309 20:11:45
Cinderace V - SWSH015,SWSH: Sword & Shield Promo Cards,,1.31,20210309 20:11:42
Carracosta GX - SM239,SM Promos,,1.32,20210309 20:11:31
Rillaboom V - SWSH014,SWSH: Sword & Shield Promo Cards,,1.36,20210309 20:11:53
Ampharos V,SWSH04: Vivid Voltage,,1.37,20210309 20:11:41
Rhyperior V,SWSH03: Darkness Ablaze,,1.39,20210309 20:11:52
Grimmsnarl V - SWSH057,SWSH: Sword & Shield Promo Cards,,1.44,20210309 20:11:48
Eiscue V,SWSH02: Rebel Clash,,1.45,20210309 20:11:46
Meowth V - SWSH004,SWSH: Sword & Shield Promo Cards,,1.45,20210309 20:11:49
Machamp BREAK,XY - Evolutions,,1.51,20210309 20:11:28
Volcanion EX,XY - Steam Siege,,1.55,20210309 20:11:28
Eldegoss V,Champions Path,,1.6,20210309 20:11:46
Wailord V,Champions Path,,1.63,20210309 20:11:55
Alcremie V,Champions Path,,1.64,20210309 20:11:40
